mutant,fault_class,killed_by,detail
WM_8D678_MUTANT_SUBSTATE_POLARITY,state-arm selection,sub4.state,substate 4 writes state 8 instead of 0x40+follow
WM_8D678_MUTANT_JT1_GUARD,dispatch guard,sub3.state,guard 0x2D severs live state 0x30 (0x41->0x40 is unobservable: slot 0x40 parks either way)
WM_8D678_MUTANT_WRONG_FOLLOW_FLAG,wrong address,fm.head,reads 0x8006F8E4 instead of 0x8006F8E1+slot
WM_8D678_MUTANT_WRONG_RING_MASK,wrong mask,ring.head,ring index & 0x3F instead of & 0x1F
WM_8D678_MUTANT_WRONG_RECORD,wrong immediate,sub1.rec,894C8/8C1DC record 0x2C instead of slot+0x28
WM_8D678_MUTANT_FOLLOW_SKIP_COPY,missing store,fm.head,follow==1 path omits ring xyz+heading copy
WM_8D678_MUTANT_STATE2_COPY_Y,extra store,s2.y,state 2 also copies slot-7 Y (retail copies X/Z/heading only)
WM_8D678_MUTANT_SKIP_8BEC8_ADVANCE,state advance,sub1.state,8BEC8==3 does not increment +0x20
WM_8D678_MUTANT_WRONG_97770_ARGS,wrong immediate,sa.a1,state 0x0A calls 97770(...,1) instead of (lh+6,4)
WM_8D678_MUTANT_WRONG_HANDOFF_STATE,state target,sa.state,state 0x0A success writes 1 instead of 2
WM_8D678_MUTANT_RATAN2_SWAP,swapped arguments,sub5.ratan2.y,ratan2(dx,dz) instead of ratan2(dz,dx)
WM_8D678_MUTANT_SKIP_RSIN_NEG,missing negate,sub5.velz,+0x40 stores +rsin instead of -rsin
WM_8D678_MUTANT_STATE32_TARGET,state target,s32.state,state 0x32 writes 0 instead of 1
WM_8D678_MUTANT_74794_GATE,gate polarity,sub4.n74794,74794 only when state==2 (inverted skip)
WM_8D678_MUTANT_SKIP_PUBLISH,missing store,sub4.pubx,common tail omits sra12 publish
WM_8D678_MUTANT_PUBLISH_SLOT0,wrong address,sub4.pubx,publishes at slot-4 offsets (EF90/EE52) instead of (slot-4)*6 / slot*2
WM_8D678_MUTANT_WRONG_RETURN,return variation,sub4.ret,returns current state instead of constant 1
